protocol,run_name,model_name,feature_set,train_size,eval_size,accuracy,balanced_accuracy,macro_f1,weighted_f1,clickbait_precision,clickbait_recall,clickbait_f1,roc_auc,pr_auc,heldout_category,domain_model_role
category_heldout,Tin tức tổng hợp,tfidf_word_logreg,text_title,3217,197,0.8375634517766497,0.8554894179894179,0.6061969015492255,0.883530316060244,0.18421052631578946,0.875,0.30434782608695654,0.8822751322751323,0.35457549842630487,Tin tức tổng hợp,best_logreg
category_heldout,Xe & Vận tải,tfidf_word_logreg,text_title,3277,137,0.7007299270072993,0.7048275862068966,0.6912548782498763,0.7058622450842367,0.5714285714285714,0.72,0.6371681415929203,0.7652873563218391,0.6731142649496361,Xe & Vận tải,best_logreg
category_heldout,Chính trị & An ninh,tfidf_word_svm,text_title,3241,173,0.8092485549132948,0.6513409961685823,0.6534328901839374,0.8079053164242486,0.42857142857142855,0.41379310344827586,0.42105263157894735,0.8436302681992337,0.5597544522362761,Chính trị & An ninh,best_svm
category_heldout,Công nghệ & Khoa học,tfidf_word_svm,text_title,3194,220,0.6863636363636364,0.6790357529794149,0.6699928259309984,0.691375108945056,0.5483870967741935,0.6538461538461539,0.5964912280701754,0.7728421812928855,0.6291665170156295,Công nghệ & Khoa học,best_svm
category_heldout,Du lịch & Ẩm thực,tfidf_word_svm,text_title,3305,109,0.7614678899082569,0.7542896362388469,0.7555210489993098,0.7607682615660278,0.7333333333333333,0.7021276595744681,0.717391304347826,0.8407687028140013,0.848198693257857,Du lịch & Ẩm thực,best_svm
category_heldout,Giáo dục & Học đường,tfidf_word_svm,text_title,3254,160,0.875,0.8053175126345857,0.8171428571428572,0.8724285714285716,0.7575757575757576,0.6756756756756757,0.7142857142857143,0.869479235332894,0.7483871716081058,Giáo dục & Học đường,best_svm
category_heldout,Giải trí & Showbiz,tfidf_word_svm,text_title,3176,238,0.5882352941176471,0.6083333333333334,0.5707765918292234,0.606421442334755,0.7966101694915254,0.5595238095238095,0.6573426573426573,0.7034013605442178,0.8425078689310826,Giải trí & Showbiz,best_svm
category_heldout,Kinh doanh & Kinh tế,tfidf_word_svm,text_title,3210,204,0.7941176470588235,0.7524553571428572,0.7567014993184915,0.7922468396718069,0.6833333333333333,0.640625,0.6612903225806451,0.8409040178571429,0.7122385157496505,Kinh doanh & Kinh tế,best_svm
category_heldout,Other,tfidf_word_svm,text_title,2297,1117,0.7314234556848702,0.7035516115871072,0.6844418830655186,0.7407979690149495,0.5,0.6433333333333333,0.5626822157434402,0.779767441860465,0.5414891709391698,Other,best_svm
category_heldout,Quốc tế,tfidf_word_svm,text_title,3173,241,0.6431535269709544,0.6120165745856354,0.5868022328548644,0.6634146664284248,0.358695652173913,0.55,0.4342105263157895,0.6418968692449356,0.41567108779767875,Quốc tế,best_svm
category_heldout,Sức khỏe & Đời sống,tfidf_word_svm,text_title,3186,228,0.7412280701754386,0.7441915227629513,0.7394184762605815,0.7424662133803407,0.8034188034188035,0.7230769230769231,0.7611336032388664,0.8039246467817898,0.8399736819477506,Sức khỏe & Đời sống,best_svm
category_heldout,Thể thao,tfidf_word_svm,text_title,3089,325,0.6923076923076923,0.6606895870381347,0.6388888888888888,0.705982905982906,0.43103448275862066,0.5952380952380952,0.5,0.7114206678522031,0.5203962614317564,Thể thao,best_svm
category_heldout,Tin tức tổng hợp,tfidf_word_svm,text_title,3217,197,0.8426395939086294,0.8581349206349207,0.6111429481056988,0.8868067171210307,0.1891891891891892,0.875,0.3111111111111111,0.9047619047619048,0.45184620204357046,Tin tức tổng hợp,best_svm
