protocol,run_name,model_name,feature_set,train_size,eval_size,accuracy,balanced_accuracy,macro_f1,weighted_f1,clickbait_precision,clickbait_recall,clickbait_f1,roc_auc,pr_auc
stratified_kfold,fold_1,tfidf_word_svm,text_title,2731,683,0.7759882869692533,0.7383977624612925,0.7387035069075452,0.7758437723178513,0.6415094339622641,0.6384976525821596,0.64,0.8082709020077914,0.6509510307781694
stratified_kfold,fold_1,tfidf_char_svm,text_title,2731,683,0.7745241581259151,0.736050344620917,0.7366552497696591,0.7742317341231643,0.6398104265402843,0.6338028169014085,0.6367924528301887,0.8131954849665368,0.6572432814621236
stratified_kfold,fold_1,tfidf_word_char_svm,text_title,2731,683,0.7818448023426061,0.7413694935570871,0.7435262214807217,0.7808287793652077,0.6553398058252428,0.6338028169014085,0.6443914081145584,0.8148137049245829,0.6597753418623934
stratified_kfold,fold_1,tfidf_word_nb,text_title,2731,683,0.7335285505124451,0.5971581260613326,0.5933566250556123,0.683192497480565,0.7246376811594203,0.2347417840375587,0.3546099290780142,0.7977125162321446,0.6526024819333094
stratified_kfold,fold_2,majority_class,simple_rule,2731,683,0.6881405563689604,0.5,0.40763226366001737,0.5610165854178862,0.0,0.0,0.0,,
stratified_kfold,fold_2,tfidf_word_logreg,text_title,2731,683,0.7862371888726208,0.7753670961941864,0.7617411499350103,0.790487643117503,0.6334661354581673,0.7464788732394366,0.6853448275862069,0.8471281590250723,0.7504159020434303
stratified_kfold,fold_2,tfidf_char_logreg,text_title,2731,683,0.7598828696925329,0.7485166317051244,0.7340140577507599,0.7652266618307397,0.5953307392996109,0.7183098591549296,0.6510638297872341,0.8469583458195985,0.7490511803109465
stratified_kfold,fold_2,tfidf_word_char_logreg,text_title,2731,683,0.7715959004392386,0.7595944461092798,0.7459513590844062,0.7763230048364428,0.6126482213438735,0.7276995305164319,0.6652360515021459,0.8542902806912396,0.760161403992847
stratified_kfold,fold_2,tfidf_word_svm,text_title,2731,683,0.7964860907759883,0.7738287883328339,0.7678171826583743,0.7985168051009861,0.6608695652173913,0.7136150234741784,0.6862302483069977,0.8391669163919688,0.7449222885419353
stratified_kfold,fold_2,tfidf_char_svm,text_title,2731,683,0.7745241581259151,0.7488862251523325,0.7430624767934964,0.7768936571383984,0.6277056277056277,0.6807511737089202,0.6531531531531531,0.8377584656877435,0.732557882368505
stratified_kfold,fold_2,tfidf_word_char_svm,text_title,2731,683,0.7906295754026355,0.765722705024473,0.7605711834283263,0.7924926988721175,0.6535087719298246,0.6995305164319249,0.6757369614512472,0.8408350814104485,0.7394470914354552
stratified_kfold,fold_2,tfidf_word_nb,text_title,2731,683,0.7701317715959004,0.6455748676455899,0.6572172940142252,0.7312454081430275,0.8589743589743589,0.3145539906103286,0.46048109965635736,0.8424133453201478,0.7434286691174521
stratified_kfold,fold_3,majority_class,simple_rule,2731,683,0.6881405563689604,0.5,0.40763226366001737,0.5610165854178862,0.0,0.0,0.0,,
stratified_kfold,fold_3,tfidf_word_logreg,text_title,2731,683,0.7613469985358712,0.753431225651783,0.7369507944946541,0.7670941812186578,0.5954198473282443,0.7323943661971831,0.6568421052631579,0.8407901308560582,0.7255572687327477
stratified_kfold,fold_3,tfidf_char_logreg,text_title,2731,683,0.767203513909224,0.7525521925881531,0.7402538693914453,0.7717359541235776,0.608,0.7136150234741784,0.6565874730021598,0.8456298072120667,0.7272616866602691
stratified_kfold,fold_3,tfidf_word_char_logreg,text_title,2731,683,0.7818448023426061,0.7619069024073519,0.7533907649061587,0.7849109701698095,0.634453781512605,0.7089201877934272,0.6696230598669624,0.8502347417840376,0.7404993276732359
stratified_kfold,fold_3,tfidf_word_svm,text_title,2731,683,0.7745241581259151,0.7437518729397663,0.7405987964881129,0.7758976545484981,0.6322869955156951,0.6619718309859155,0.6467889908256881,0.8272150634302268,0.7208495840481857
stratified_kfold,fold_3,tfidf_char_svm,text_title,2731,683,0.7920937042459737,0.764219358705424,0.7608118772812469,0.7933601749732905,0.6591928251121076,0.6901408450704225,0.6743119266055045,0.8421835980421536,0.7358700473929493
stratified_kfold,fold_3,tfidf_word_char_svm,text_title,2731,683,0.7964860907759883,0.7609929078014184,0.7619964451263384,0.7960881333261847,0.6761904761904762,0.6666666666666666,0.6713947990543735,0.8385975427030267,0.7392135656977352
stratified_kfold,fold_3,tfidf_word_nb,text_title,2731,683,0.7598828696925329,0.6304265308161023,0.6373607873607874,0.7166760900289451,0.8356164383561644,0.2863849765258216,0.42657342657342656,0.8345669763260414,0.7121407782964547
stratified_kfold,fold_4,majority_class,simple_rule,2732,682,0.6876832844574781,0.5,0.40747176368375326,0.5604230415474495,0.0,0.0,0.0,,
stratified_kfold,fold_4,tfidf_word_logreg,text_title,2732,682,0.7683284457478006,0.7495520385997577,0.7397499806785687,0.7721220473056631,0.6131687242798354,0.6995305164319249,0.6535087719298246,0.8331481425868644,0.6721292707768076
stratified_kfold,fold_4,tfidf_char_logreg,text_title,2732,682,0.750733137829912,0.7380401813868285,0.7240706363939264,0.7562668645430412,0.5836575875486382,0.704225352112676,0.6382978723404256,0.8248796260147953,0.6621791848314769
stratified_kfold,fold_4,tfidf_word_char_logreg,text_title,2732,682,0.7712609970674487,0.7529655545211568,0.7430442847206121,0.775006578352427,0.6172839506172839,0.704225352112676,0.6578947368421053,0.8341391633382385,0.6739853641976787
stratified_kfold,fold_4,tfidf_word_svm,text_title,2732,682,0.7639296187683284,0.7373845060412225,0.7315059114083458,0.7665289877127996,0.6120689655172413,0.6666666666666666,0.6382022471910113,0.8158803567674704,0.6497067287707659
stratified_kfold,fold_4,tfidf_char_svm,text_title,2732,682,0.7390029325513197,0.7064476410703024,0.7021132497717926,0.7414622447366215,0.5764192139737991,0.6197183098591549,0.5972850678733032,0.8063805719891489,0.6485180685065352
stratified_kfold,fold_4,tfidf_word_char_svm,text_title,2732,682,0.7419354838709677,0.7124237965104057,0.7068300165108394,0.7449105234777582,0.5793991416309013,0.6338028169014085,0.6053811659192825,0.8130073976195482,0.6565229496355641
stratified_kfold,fold_4,tfidf_word_nb,text_title,2732,682,0.7375366568914956,0.6015946424817562,0.5988538493639981,0.687389507037413,0.75,0.23943661971830985,0.36298932384341637,0.823938656816521,0.6616821323919508
